epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,source_checkpoint
0.011589164131537013,15.09731674194336,3.8e-05,8.0895,20,,,,,checkpoint-3000
0.011589164131537013,15.09731674194336,3.8e-05,8.0895,20,,,,,checkpoint-3452
0.023178328263074026,27.134788513183594,7.800000000000001e-05,5.6173,40,,,,,checkpoint-3452
0.023178328263074026,27.134788513183594,7.800000000000001e-05,5.6173,40,,,,,checkpoint-3000
0.034767492394611035,0.6269415616989136,0.000118,3.1288,60,,,,,checkpoint-3000
0.034767492394611035,0.6269415616989136,0.000118,3.1288,60,,,,,checkpoint-3452
0.04635665652614805,0.388297975063324,0.00015800000000000002,1.2564,80,,,,,checkpoint-3452
0.04635665652614805,0.388297975063324,0.00015800000000000002,1.2564,80,,,,,checkpoint-3000
0.05794582065768506,0.10676487535238266,0.00019800000000000002,1.049,100,,,,,checkpoint-3000
0.05794582065768506,0.10676487535238266,0.00019800000000000002,1.049,100,,,,,checkpoint-3452
0.06953498478922207,0.11507079750299454,0.00019886634844868737,1.0156,120,,,,,checkpoint-3452
0.06953498478922207,0.11507079750299454,0.00019886634844868737,1.0156,120,,,,,checkpoint-3000
0.08112414892075909,0.11772233247756958,0.00019767303102625298,0.9971,140,,,,,checkpoint-3000
0.08112414892075909,0.11772233247756958,0.00019767303102625298,0.9971,140,,,,,checkpoint-3452
0.0927133130522961,0.09949982166290283,0.00019647971360381861,0.9902,160,,,,,checkpoint-3452
0.0927133130522961,0.09949982166290283,0.00019647971360381861,0.9902,160,,,,,checkpoint-3000
0.10430247718383312,0.10224514454603195,0.00019528639618138428,0.9842,180,,,,,checkpoint-3000
0.10430247718383312,0.10224514454603195,0.00019528639618138428,0.9842,180,,,,,checkpoint-3452
0.11589164131537012,0.1165412962436676,0.00019409307875894988,0.9893,200,,,,,checkpoint-3452
0.11589164131537012,0.1165412962436676,0.00019409307875894988,0.9893,200,,,,,checkpoint-3000
0.12748080544690715,0.10619586706161499,0.00019289976133651552,0.9707,220,,,,,checkpoint-3000
0.12748080544690715,0.10619586706161499,0.00019289976133651552,0.9707,220,,,,,checkpoint-3452
0.13906996957844414,0.0878891572356224,0.00019170644391408115,0.9762,240,,,,,checkpoint-3452
